ID,fips_code,year,deck_cond,superstructure_cond,channel_cond,culvert_cond
000629,01,1929,N,N,6,6
000630,01,1929,N,N,7,6
000632,01,1929,N,N,6,6
000633,01,1929,N,N,5,6
000634,01,1929,N,N,6,7
000636,01,1929,N,N,4,6
000638,01,1929,N,N,8,8
000639,01,1929,N,N,7,8
000640,01,1929,N,N,7,7
000641,01,1929,N,N,7,8
000642,01,1929,N,N,7,5
000644,01,1929,N,N,6,7
000645,01,1929,N,N,7,7
000646,01,1929,N,N,6,7
000647,01,1929,N,N,6,7
000648,01,1929,N,N,5,5
000649,01,1929,N,N,8,6
000650,01,1929,N,N,6,5
000652,01,1929,N,N,5,5
000656,01,1929,7,6,5,N
000659,01,1938,N,N,5,6
000662,01,1929,N,N,6,6
000663,01,1929,N,N,5,6
000664,01,1929,N,N,6,6
000665,01,1929,N,N,5,5
000666,01,1929,6,7,6,N
000667,01,1929,N,N,5,5
000669,01,1929,N,N,6,6
000670,01,1929,N,N,6,6
000671,01,1929,N,N,6,6
000673,01,1929,N,N,5,5
000674,01,1929,N,N,5,6
000675,01,1929,N,N,5,6
000676,01,1929,N,N,7,6
000677,01,1929,N,N,7,6
000678,01,1929,N,N,7,7
000679,01,1929,6,7,7,N
000680,01,1929,N,N,6,7
000684,01,1929,N,N,6,4
000686,01,1929,N,N,7,7
000689,01,1929,4,4,6,N
000690,01,1929,N,N,7,7
000691,01,1929,N,N,6,5
000692,01,1929,N,N,6,7
000693,01,1929,N,N,6,6
000694,01,1929,5,5,7,N
000695,01,1929,N,N,5,6
000711,01,1930,5,5,6,N
000712,01,1930,5,5,7,N
000714,01,1930,N,N,6,6
000717,01,1930,5,4,5,N
000718,01,1930,5,5,5,N
000719,01,1930,5,5,6,N
000720,01,1930,6,6,5,N
000721,01,1930,7,4,7,N
000723,01,1991,N,N,6,8
000724,01,1991,N,N,8,8
000726,01,1930,4,4,7,N
000727,01,1930,5,6,7,N
000729,01,1930,6,5,N,N
000732,01,1930,7,7,8,N
000733,01,1930,7,7,N,N
000734,01,1930,6,5,N,N
000735,01,1930,5,5,5,N
000736,01,1930,N,N,6,7
000737,01,1930,N,N,6,6
000739,01,1930,N,N,5,5
000741,01,1930,7,7,7,N
000742,01,1930,5,5,5,N
000744,01,1930,5,5,6,N
000746,01,1930,7,6,6,N
000747,01,1930,6,6,8,N
000748,01,1992,N,N,5,5
000749,01,1930,N,N,5,5
000757,01,1930,5,5,7,N
000758,01,1930,N,N,8,6
000761,01,1930,7,7,7,N
000762,01,1930,N,N,6,5
000764,01,1930,N,N,6,6
000765,01,1930,N,N,6,6
000766,01,1930,N,N,6,6
000767,01,1930,N,N,6,6
000768,01,1930,6,6,7,N
000769,01,1930,6,6,5,N
000770,01,1930,4,5,N,N
000771,01,1930,4,3,7,N
000778,01,1930,5,5,5,N
000779,01,1930,5,6,6,N
000784,01,1930,5,4,6,N
000793,01,1930,6,7,7,N
000794,01,1930,6,7,7,N
000797,01,1930,N,N,6,6
000798,01,1930,4,5,5,N
000799,01,1930,N,N,5,5
000803,01,1930,N,N,5,6
000805,01,1930,6,6,6,N
000806,01,1930,6,6,6,N
000809,01,1992,N,N,7,6
000812,01,1930,5,3,N,N
000817,01,1930,5,3,6,N
000819,01,1989,N,N,6,6
000822,01,1930,6,6,5,N
000825,01,1930,N,N,4,2
000827,01,1930,N,N,5,5
000830,01,1930,5,5,5,N
000832,01,1930,4,3,5,N
000833,01,1930,3,3,6,N
000836,01,1930,N,N,7,7
